Date,Total Users,Total new users,Published datasets (metastore),Published datasets (DB),Unlisted datasets,Unlisted datasets (extracting our datasets),Private datasets,Private datasets(extracting our datasets),Total datasets,Number of pushes,Number of pushes (excluding us),Speed of a 1Mb of packaged dataset push (in seconds),Speed of a 5kb of packaged dataset push (in seconds),Clicks on download link (csv + json + zip),cli-macos,cli-linux,cli-windows,data-desktop,Total downloads,Download page (unique pageviews),sign-in-pricing-page,sign-up-pricing-page,contact-us-pricing-page,Pricing page (unique pageviews),Site Traffic,Data stored (Published),Data growth,Total number of data requests,Comment
2018-05-04,873,3,338,445,912,159,28,4,1385,17,15,41.18,29.58,226,0,5,2,0,7,26,0,1,0,27,967,12757012889,"-4,269,177",2,
2018-05-07,898,25,338,445,916,163,27,3,1388,13,11,43.66,29.78,232,0,1,9,0,10,39,1,0,0,24,1108,12757057902,"45,013",1,
2018-05-14,937,39,340,455,913,160,27,3,1395,27,25,47.51,29.31,290,4,1,1,0,6,34,0,0,0,21,1195,12757062103,"4,201",1,
2018-05-15,944,7,350,457,912,159,27,3,1396,19,17,49.05,30.98,341,1,0,2,0,3,39,0,2,4,28,1212,20212827399,"7,455,765,296",2,
2018-05-16,951,7,356,463,923,170,29,5,1415,30,26,47.68,30.78,295,1,4,4,1,10,37,1,1,0,28,1203,20222106240,"9,278,841",1,
2018-05-17,954,3,361,468,923,170,29,5,1420,21,19,43.39,30.87,267,0,1,3,0,4,31,0,0,0,24,1098,22287392361,"2,065,286,121",1,
2018-05-18,961,7,354,438,961,207,28,4,1427,46,38,83.52,52.86,211,0,0,0,0,0,24,0,2,0,18,853,22279129250,"-8,263,111",0,
2018-05-22,979,18,355,439,965,212,28,0,1432,18,13,83.21,55.49,246,2,0,12,2,16,25,0,0,0,21,957,22280382372,"1,253,122",2,"Probably due to migration of services, and changes on website, processing datasets takes much more time"
2018-05-23,989,10,355,439,965,212,28,0,1432,11,9,85.69,52.7,223,3,2,6,2,13,24,1,0,0,18,1053,22236663618,"-43,718,754",0,
2018-05-24,1000,11,356,442,963,212,28,0,1433,37,34,83.23,51.3,259,0,0,3,0,3,23,1,0,1,34,1097,22280389081,"43,725,463",1,
2018-05-25,1002,2,358,443,964,213,26,0,1433,18,8,200,53.22,210,2,0,0,0,2,14,0,0,0,15,913,22287616973,"7,227,892",0,
2018-05-28,1020,18,370,456,951,213,26,0,1433,105,93,83.27,55,153,0,2,5,1,8,30,3,0,1,31,864,22288034969,"417,996",0,
2018-05-29,1026,6,371,458,949,211,26,0,1433,11,9,81.97,51.1,193,2,3,6,0,11,20,0,0,0,22,1056,22288071944,"36,975",0,
2018-05-30,1032,6,371,458,949,211,26,0,1433,11,9,81.55,51.64,251,1,0,2,2,5,21,1,0,1,22,1030,22288078778,"6,834",0,
2018-05-31,1037,5,371,457,950,212,26,0,1433,15,12,81.23,51.45,198,0,3,1,0,4,27,0,0,0,14,921,22288083860,"5,082",0,
2018-06-04,1059,22,394,480,949,211,26,0,1455,19,19,78.96,52.23,257,1,0,1,1,3,20,0,0,0,15,1035,27549316434,"5,261,232,574",1,
2018-06-05,1064,5,394,480,949,211,26,0,1455,17,17,79.92,53,287,0,0,3,0,3,19,1,0,0,31,1211,27557699939,"8,383,505",0,
2018-06-06,1071,7,394,480,949,211,26,0,1455,15,13,76.28,51.24,310,0,0,2,0,2,24,1,0,1,28,1334,27550669725,"-7,030,214",2,
2018-06-07,1080,9,394,480,949,211,26,0,1455,18,6,80.52,54.38,243,0,1,2,0,3,24,0,0,0,21,1071,27550669928,203,0,
2018-06-08,1087,7,394,480,949,211,26,0,1455,16,9,156.76,98.05,212,1,0,0,0,1,18,0,0,0,17,953,27550671551,"1,623",0,"2 spam requests came, both deleted, ga detected no requests again"
2018-06-11,1109,22,395,481,949,211,26,0,1456,15,11,85.21,53.25,242,0,5,1,0,6,20,0,0,0,24,1168,29910580211,"2,359,908,660",3,
2018-06-12,1119,10,397,483,949,211,26,0,1458,12,12,84.5,58.37,310,4,3,5,2,14,30,3,0,0,32,1422,30151187917,"240,607,706",0,
2018-06-13,1129,10,397,483,949,211,26,0,1458,28,22,80.56,57.79,286,0,0,3,0,3,31,3,0,0,26,1462,30151191531,"3,614",1,
2018-06-14,1139,10,397,483,949,211,26,0,1458,11,7,76.83,55.89,277,0,0,10,2,12,20,1,0,0,19,1393,30151193827,"2,296",1,
2018-06-15,1143,4,399,485,949,211,26,0,1460,24,15,79.69,55.52,207,0,2,1,0,3,22,0,1,0,30,1083,30622408823,"471,214,996",2,
2018-06-18,1157,14,399,485,950,212,26,0,1461,98,97,78.53,55.58,245,0,0,5,1,6,34,0,1,0,20,1234,30600751641,-21657182,0,
2018-06-19,1158,1,406,485,950,212,26,0,1461,29,16,81.2,55.6,273,0,0,1,0,1,16,1,0,0,20,1299,30612220742,11469101,1,
2018-06-20,1164,6,407,486,950,212,26,0,1462,18,13,79.48,56.76,262,0,3,6,1,10,19,0,0,0,21,1346,30612256763,36021,1,
2018-06-21,1171,7,414,493,954,216,27,0,1474,42,34,84.48,55.34,237,0,0,2,0,2,18,1,0,0,21,1300,30640106888,27850125,0,
2018-06-22,1182,11,413,492,958,217,27,0,1477,39,35,96.51,55.42,191,3,2,1,0,6,12,2,0,0,26,1079,30635894643,-4212245,0,
2018-06-25,1202,20,420,499,959,217,27,0,1485,25,16,76.84,58.48,219,2,2,2,3,9,17,0,0,0,19,1332,30657151194,21256551,2,
2018-06-26,1213,11,728,808,959,217,27,0,1794,332,328,81.76,57.56,254,0,3,1,0,4,10,0,0,0,15,1434,31090104841,432953647,0,
2018-06-27,1221,8,772,904,961,217,27,0,1892,283,278,79.51,63.28,235,0,2,4,0,6,10,0,0,0,21,1258,31804694940,714590099,0,
2018-06-28,1227,6,788,906,962,217,28,0,1896,119,116,80.06,58.04,234,0,2,0,0,2,10,0,0,0,14,1113,31976494400,171799460,1,
2018-06-29,1236,9,789,907,962,217,28,0,1897,17,15,84.23,57.61,183,0,2,0,0,2,15,1,0,0,13,932,32034862794,58368394,1,
2018-07-02,1250,14,790,910,962,217,29,0,1901,21,21,80.02,58.24,249,0,0,2,0,2,15,0,0,0,22,1070,32048227184,13364390,0,
2018-07-03,1255,5,783,910,962,217,29,0,1901,9,7,79.83,53.37,268,2,0,0,0,2,11,0,0,0,18,1074,32037192059,-11035125,0,
2018-07-04,1258,3,783,910,962,217,29,0,1901,25,16,87.54,61.57,216,0,3,0,0,3,15,0,0,0,16,978,32110621814,72332888,1,
2018-07-05,1269,11,783,910,962,217,29,0,1901,22,16,173.6,111.55,271,0,2,2,0,4,10,0,0,0,21,1174,32067354747,-43267067,0,
