Date,Total Users,Total new users,Published datasets (metastore),Published datasets (DB),Unlisted datasets,Unlisted datasets (extracting our datasets),Private datasets,Private datasets(extracting our datasets),Total datasets,Number of pushes,Number of pushes (excluding us),Speed of a 1Mb of packaged dataset push (in seconds),Speed of a 5kb of packaged dataset push (in seconds),Clicks on download link (csv + json + zip),cli-macos,cli-linux,cli-windows,data-desktop,Total downloads,Download page (unique pageviews),sign-in-pricing-page,sign-up-pricing-page,contact-us-pricing-page,Pricing page (unique pageviews),Site Traffic,Data stored (Published),Data growth,Total number of data requests,Comment
2017-11-03,283,4,164,271,28,,,,242,,,,,282,,,,,,,,,,,705,3324591429,0,,
2017-11-06,286,3,164,271,28,,,,244,,,,,261,,,,,,,,,,,1062,3324591429,0,,
2017-11-07,290,4,164,271,28,,,,246,,,,,339,,,,,,,,,,,902,3324591429,0,,
2017-11-08,291,1,164,271,28,,,,246,,,,,351,,,,,,,,,,,840,3324591429,0,,
2017-11-09,295,4,166,273,28,,,,246,,,,,307,,,,,,,,,,,799,3326070629,"1,479,200",,
2017-11-10,301,6,166,273,28,,,,246,,,,,216,,,,,,,,,,,622,3326070629,0,,
2017-11-13,301,0,166,273,28,,,,246,3,,,,259,,,,,,,,,,,798,3326070629,0,,
2017-11-14,303,2,166,273,28,,,,246,2,,,,276,,,,,,,,,,,1046,3326070629,0,,
2017-11-15,311,8,166,273,28,,,,246,65,,,,364,,,,,,,,,,,1088,3326685558,"614,929",,
2017-11-16,311,0,166,273,28,,,,250,9,,28.46,,363,,,,,,,,,,,991,3326689923,"4,365",,
2017-11-17,317,6,167,274,28,,,,259,23,,26.71,,249,,,,,,,,,,,838,3332512723,"5,822,800",,
2017-11-20,320,3,167,274,28,,,,269,5,,27.48,,258,,,,,,,,,,,922,3332512723,0,,
2017-11-21,322,2,166,273,28,,,,270,5,,26.1,,288,,,,,,,,,,,964,3332510439,"-2,284",,
2017-11-22,326,4,166,273,28,,,,271,4,,25.64,,296,,,,,,,,,,,890,3332510671,232,,
2017-11-23,329,3,166,273,28,,,,276,5,,25.42,,264,0,2,,9,11,30,,,,,815,3332510894,223,,
2017-11-24,334,5,166,273,28,,,,278,8,,30.06,,219,3,2,,3,8,24,,,,,711,3332511122,228,,
2017-11-27,340,6,198,305,28,,,,321,29,,29.98,,314,1,1,,7,9,58,,,,,1025,3358265797,"25,754,675",,
2017-11-28,342,2,199,306,28,,,,324,4,,30.12,,340,0,2,,2,4,33,,,,,1012,3352071377,"-6,194,420",,
2017-11-29,347,5,200,307,28,,,,328,9,,30.07,,366,1,2,,6,9,40,,,,,1100,3355428188,"3,356,811",,
2017-11-30,349,2,202,309,28,,,,331,6,,29.82,20.09,378,0,2,,3,5,37,,,,,1014,3358807696,"3,379,508",,
2017-12-01,357,8,205,312,28,,1,,341,14,,30.16,22.04,327,0,2,,5,7,38,,,,,896,3358828792,"21,096",,
2017-12-04,362,5,206,313,30,,1,,344,23,,33.81,21.3,375,0,3,,5,8,46,,,,,1071,3362208489,"3,379,697",,
2017-12-05,363,1,205,312,32,,2,,346,14,,28.29,21.72,399,0,3,,13,16,40,,,,,1144,3358852161,"-3,356,328",,
2017-12-06,368,5,206,313,39,,2,,354,25,,30.38,19.78,448,1,3,,7,11,53,,,,,1088,3358898433,"46,272",,
2017-12-07,371,3,206,313,40,,2,,355,6,,25.42,19.43,381,0,3,,1,4,32,,,,,1076,3358898433,0,,
2017-12-08,383,12,206,313,45,,2,,360,7,,28.16,33.53,290,0,2,,4,6,39,,,,,917,3358898895,462,,
2017-12-11,389,6,207,314,54,,2,,370,14,,28.73,42.67,368,0,3,,5,8,33,,,,,1017,3359017462,"118,567",,
2017-12-12,394,5,207,314,57,,2,,373,11,,25.97,116,448,0,0,,2,2,49,,,,,1123,3359017697,235,,
2017-12-13,398,4,207,314,65,,2,,381,11,,41.33,71.24,494,2,2,,5,9,54,,,,,1133,3359017922,225,,
2017-12-14,401,3,209,316,75,,2,,393,23,,42.3,31.1,331,0,2,,2,4,19,,,,,891,3398139150,"39,121,228",,
2017-12-15,406,5,209,316,77,,2,,395,9,,37.85,33.86,239,3,2,,3,8,20,,,,,752,3398146257,"7,107",,
2017-12-18,410,4,209,316,141,,2,,459,106,,65.87,30.06,312,0,8,,9,17,41,,,,,1214,3398146257,0,,
2017-12-19,413,3,209,316,145,,2,,463,30,,56.35,39.24,345,3,1,,2,6,36,,,,,1158,3398146492,235,,
2017-12-20,415,2,209,316,148,,2,,466,24,,68.24,29.16,285,0,0,,5,5,42,,,,,1056,3398152104,"5,612",,
2017-12-21,417,2,209,316,153,,2,,471,22,,39.12,30.12,270,0,2,,5,7,34,,,,,982,3398152329,225,,
2017-12-22,422,5,210,317,162,,2,,481,25,,41.38,32.37,223,0,1,,1,2,20,,,,,661,3398219597,"67,268",,
2017-12-25,423,1,211,318,167,,3,,488,100,,37.46,29.84,142,0,0,,2,2,11,,,,,514,3398240342,"20,745",,
